**COMMON**,,
1000,Undefined exception,"There is undefined and unpredictable exception. If it's happened, please, make a screenshot of the error and contact support team to clarify and solve the issue."
1001,Record not found,"Record with respective request parameter is not found in database. Please check your request, compare with documentation and send again"
1002,XSLT translation error. {0},XSLT translation error. It happens when we cannot transform XML document using XSLT template and get an envelope xml structure. Please pay attention to the error details and a row.
1003,Bad image data,"An image in the request couldn't be processed, use another format and/or properties of an image"
1004,Empty value for required field,"You've sent an empty value for a required field. Please check your request parameters and send again"
1005,Too many requests,"You've sent to many requests for particular endpoint and user. Please try again in 10 minutes"
1006,Validation failed. {0},"You are going to get this error, if any validation rules of the fields failed. Please see the details of the error to find particular field and failed validation rule"
1007,Document has been modified,Document has already been modified. Please request updated document and then change it
1008,Invalid XML. {0},"XML structure is not valid, read error description to clarify details"
1009,Verification code is absent,"Verification code in the request is missing. Please check request data, check documentation and resend"
1010,Try again later. Files are generating at the moment,Files are generating at the moment. To generate files one more time please wait until this process if over and then try again
1011,Unexpected content-type: {0},"Content-type of the uploaded document is incorrect or is not allowed. Allowed types are: CSV, XLS"
1012,Cannot calculate file hash,Application cannot calculate hash of the file you sent
1013,"Field '{0}' must be not less than {1} chars long",Entered quantity of symbols is less than minimal chars length allowed
1014,"Field '{0}' must be less than {1} chars long",Entered quantity of symbols is bigger than allowed maximum chars length
1015,"Field '{0}' must be from {1} to {2} chars long",Entered quantity of symbols should be within the interval
1016,Unsupported locale: {0},Locale is not supported by the system
1017,{0},Password validation occurred. Password should be more complex and contains Latin symbols in lower and upper cases and special symbols
1018,Wrong timezone: {0},Timezone is not supported by the system
1019,File is not ready for download,File you requested is not ready for download yet. Please wait a minute and try again
1020,Not valid filename: {0},Filename is not valid
1021,File upload error: {0},File cannot be uploaded. Please pay attention to the explanation in the error message
1022,"Request header '{0}' required","Request header is required in this request. Please check your request, compare with documentation and send again"
1023,"Request query parameter '{0}' required","Request parameter is required. Please check your request, compare with documentation and send again"
1024,"Request body parameter '{0}' required","Request body is required in this request. Please check your request, compare with documentation and send again"
1025,"Request path parameter '{0}' required","Request path parameter is required in this request. Please check your request, compare with documentation and send again"
1026,Authentication error,"Some authentication error, please check logs"
1027,Authentication token has been expired or revoked,Authentication token has been expired or revoked. To solve the issue authorize once again
1028,Standard Spring MVC exceptions: {0},One of the standard server exceptions has occurred. Please see error message and check the request data for mistakes
1029,"File '{0}' exceeded max size: {1} > {2}",File size is bigger than the limit for upload. Please pay attention to max size on the error code and try to upload a file with proper size.
1030,"File type mismatch for image '{0}'","Image file type is not correspond to allowed file types. Allowed file types: png, jpg, jpeg."
1031,"Image '{0}' exceeded max size: {1}x{2}",Image size is bigger than the limit for upload. Please pay attention to max size on the error code and try to upload file with proper size.
1032,Attachment {0} not found,Attachment with entered UUID was not found. Please check UUID
1033,"Attachment '{0}' is not in {1} format",Attachment cannot be uploaded because of the wrong file format. Please use one of the allowed formats from the list
1034,"Image source '{0}' is wrong","Image tag supports only 'data:' and 'image-uuid:' prefixes for source attribute"
1035,"Hash attribute has to be specified for '{0}'",Hash attribute is required to sign the document
1036,"Image hashes do not match for '{0}'",Check that hashes are correct for the image
1037,Password cannot be reused,Do not use previously used passwords
1038,Please accept Terms and Conditions and Privacy Policy,Please read and accept Terms and Conditions and Privacy Policy.
1039,Image {0} was uploaded by another mailbox {1},This image cannot be used in this mailbox
1040,There must be 2 dates specified for a range,"Range field value is incorrect. Acceptable range format is date/date, and date must be ISO-8601"
1041,Requested range out of bounds,Requested range out of bounds
1042,Comment thread {0} is not found,Comment thread with entered UUID was not found. Please check correctness of the entered data
1043,Access to comment thread {0} is not allowed,Access to the comment thread with entered UUID is forbidden. Please check correctness of the entered data
1044,Message with ID {0} in comment thread {1} was not found,No such message in the comment thread. Please check correctness of the entered data
1045,Main thread for document already exists,Please specify XPath and create a new thread
1046,Thread {0} is already resolved or deleted and cannot be changed,There is no possibility to update the thread
1047,"Attachment '{0}' exceeded max name length: {1}",Attachment file name length is bigger than the limit. Please pay attention to max length on the error code and try to upload file with less length
1048,Password expired,Please renew the password
1049,"To protect your account from hacking, we temporarily blocked the possibility of authorization. Wait {0} minute(s) or click “Forgot password?”",Please wait a few minutes and try again
1050,Only one session is allowed. Please log out from another one,Additional session is blocked
1051,IP address is blocked,Please contact the platform/account administrator
1052,Wrong IP or IP-range format for [{0}],Please fix IP format
1053,Sub-service is unavailable: {0},There is an infrastructure problem. Please try later
1054,Sub-service error with message: {0},There is an error on sub-service side
1055,Payload is too large,Please decrease the size of the file/request
1056,Email is expected for SSO authorization,Please change username to email in your Identity Provider
1057,Unsupported access level: {0},Access level is not supported in this context
1058,Shared category can only belong to shared category,Shared category can only belong to shared category
1059,"'uuids' or 'searchParams' have to be specified separately","Please send 'uuids' or 'searchParams'"
1060,"Image '{0}' is smaller than minimum size: {1}x{2}",Image size is smaller than limit for upload. Please pay attention to min size on the error code and try to upload file with larger size.
1061,The email address or password is incorrect. Try again or click “Forgot password?” to reset it.,Entered email or password is invalid
1062,"The email address or password is incorrect. You have 1 attempt left. To avoid temporary blocking, click “Forgot password?”",Entered email or password is invalid
1063,{0},Request is rejected by the system
1064,Please log in using SSO,Corporate user cannot register or log in using a password
1065,Wrong code format,Please send a proper code from email
1066,Field {0} cannot be empty,Please set the field value
1068,Unsupported format {0},This format cannot be processed
1069,Shared mailboxes must be specified for access level = shared,Check shared mailboxes are filled
**USER/PROFILE**,,
10001,User {0} not found,User with requested UUID was not found
10002,User {0} deleted,"User has been deleted and couldn't be used"
10003,Proof message is not valid,"Entered proof message is not valid. A proof message should be the user's email in upper case (f.e.: “EMAIL@EXAMPLE.COM”)"
10004,Email already in use: {0},User with particular email has already been registered
10005,User already activated,User has already been activated. To use the system you have to be authorized
10006,Invitation is for another user,"Opened content doesn't belong to your particular user, log in with other credentials to be able to see the content"
10007,User notification {0} is not found,There are no notifications for particular user
10008,Email validation code not found or expired,Email validation code was not found or expired. Check correctness of entered code or resend with a new one.
10009,Invitation code not found or expired,Invitation code was not found or expired. Check correctness of the entered code or ask to resend a new one.
10010,"Your invitation link has been expired, please register now",Invitation code has been expired. Try to register and confirm your email the usual way
10011,Invitation not found or expired,Invitation for particular user does not exist or expired
10012,Invitation email is empty,"It's impossible to create invitation, email field is required"
10013,No account provided for update,"Account option is missed in the request. Please check your request, compare with documentation and send again"
10014,No permissions provided for update,"Permissions list is missing in the request. Please check your request, compare with documentation and send again"
10015,"Wrong role '{0}' is used","Role is incorrect for particular request, please check that entered role UUID exists"
10017,"Color '{0}' has wrong format",Color in the request in wrong format. Please use color format #FFFFFF
10018,User is already blocked,User has already been blocked
10019,Bad ISO date: {0},"Format date is incorrect, please use ISO-8601 date formats"
10020,Already invited,This user has already been invited to this entity
10021,Corporate user cannot delete himself,Only admin of account can delete corporate user
10022,Corporate user cannot create new account,Corporate user is already assigned to an account and this cannot be changed
10023,User {0} is not corporate,Current action can be applied only on a corporate user
10024,"User '{0}' already has access to account/mailbox",This user already has the access to these entities
10025,Wrong password,Old password is wrong. Please check correctness of entered password
10026,User is inactive,User has not confirmed his email yet
10027,User {0} is corporate,Current action can be applied only on non-corporate user
10028,ITN code has to be specified for company account,Please add missing property to the request
10029,Incorrect phone number,Phone number should be in international format
10030,This endpoint can only be executed for user with expired password,"Active user should use another endpoint, please check documentation"
10031,User already exists,Email already registered in the system
10032,User is blocked,Ask your system administrator to unblock
10033,Verification record expired,Please repeat operation
**ACCOUNT**,,
20001,Account {0} not found,An account with entered UUID is not found. Please check request data
20002,Account {0} deleted,Account with entered UUID has been deleted.
20004,Only one mailbox allowed,This request allows only one mailbox
20005,Role has no account,Account UUID parameter is required in a request. Please enter valid account UUID to create role
20006,Role {0} not found,Role with entered UUID is not found. Please check request data
20007,Role with such name already exists,Role with particular name is exist. Please enter new name or remove the existing role
20008,No role permissions data found,"Role permissions data is required in this request. Please check request data, compare it with documentation and send again"
20009,No role type found,"Role type is incorrect in the request. Supported role types: Account, Mailbox and System. Please check request data, compare it with documentation and send again"
20010,Unsupported permission set,"Permissions in the request are not correct. Please check request data, compare it with documentation and send again"
20011,Parent category should not have access level higher than subordinated,Parent category should not have access level higher than subordinated
20012,"Account '{0}' has no other owners",Account with entered UUID does not have other owners. Add at least one more owner ot Account and repeat the action
20013,Account domain name not found,Account domain name is empty in the create domain request body
20014,Account domain name size exceeded maximum size 256,Account domain name exceeded max allowed size (256 characters) in the create domain request body
20015,"Cannot resolve domain '{0}'","Domain cannot be resolved to IP. Looks like it doesn't exist"
20016,"Cannot use domain '{0}'",Domain already verified and used by another account or already added to current account
20017,"Domain '{0}' not found",Domain not found in database by domainUuid
20018,Unknown domain verification method,Domain verification method was not found in request body during domain verify request
20019,Domain already verified,Domain already verified and verification info cannot be changed
20020,Only INACTIVE domains can be activated,Cannot activate unverified or already activated domain
20021,Only ACTIVE domains can be deactivated,Cannot deactivate unverified or already deactivated domain
20022,Domain verification expired,Domain verification expired. Please use verify method to renew verification
20023,Domain verify info not found,Domain verify info was not found during domain confirmation or domain check
20024,"Domain '{0}' already verified by another account","Domain has pass verification, but it was already added and verified by another account."
20025,Domain and account do not match,"You're trying to access domain, which is not belongs to current account"
20026,The user policy for the account should be stricter than the global one.,Please check the user global policies /api/v1/settings
20027,"Domain '{0}' has to be verified and active",Domain is not active during corporate user creation
20028,Invitation permission conflict,User has already had access to the entity and cannot be invited anymore to this entity
20029,Invitations roles or permissions are empty,"Roles or permissions are missing in the request. Please check your request, compare with documentation and send again"
20030,"Account '{0}' has no verified domains",Account has no verified domains
20031,Error during XLSX generation,Excel file generation error
20032,Users not found,Corporate import Excel file has no sheet with users
20033,Duplicated user {0},Duplicated user email in corporate users import file
