80001,Integration rule {0} deleted,Integration rule with entered UUID has been deleted
80002,Integration rule {0} not found,Integration rule with entered UUID has not found or has not existed
80003,Integration not found for mailbox {0},Integration configuration has not found for entered mailbox UUID
80004,Name pattern generates empty filename,We can not generate a file name
80005,"templateUuid doesn't match versionUuid","Template UUID doesn't match template version UUID. Please compare template and version UUIDs"
80006,Protocol {0} not supported,"Entered protocol has not supported yet. Supported protocols: SFTP, FTPS, AS2, SOAP"
80007,Matching pattern source is required,Matching pattern source is required in this request
80008,Template Uuid is required,Tempalte UUID is required in this request
80009,Template version Uuid is required,Tempalte version UUID is required in this request
80010,Conversion rule is required,Conversion rule is required in this request
80011,Naming pattern rule is required,Naming pattern rule is required in this request
80012,Source is required,Source is required in this request
