**Custom error code**, **Error detail**, **Error description**
30001, Mailbox {0} not found,
30002, Mailbox {0} deleted,
30003, Mailbox name can't be empty,
30004, Mailbox name size exceeded {0},
30005, Mailbox Alias name can't be empty,
30006, Mailbox Alias name size exceeded maximum size,
30007, Alias not found or attached to other mailbox,
30008, Contact {0} not found,
30009, MoveTo category can't be subordinated of the category to delete,
30010, Category {0} not found,
30011, Invalid parentId value,
30012, Alias already exists,
30013, Empty category id,
30014, Can't change category access to official,
30015, Category already exists,
30016, Mailbox {0} for another account,
30017, Mailbox {0} has no other owners,
