**Custom error code**, **Error detail**, **Error description**
90004,Guest user has no access to any mailbox,"User doesn't have access to any mailbox. Please add access to any mailbox or login by user who has accesses"
90005,"Can't do with system account","User doesn't have enough privileges to modify system data"
90006,"Can't do with system mailbox","User doesn't have enough privileges to modify system data"
90007,Mailbox has no access to label,"Mailbox doesn't have access to the label"
90008,No access to dictionary,Dictionary is inaccessible for you. Ask dictionary owner to update access level.
90009,No access to template,Tempalte is inaccessible for you. Ask template owner to update access level.
90010,No access to parent category,Parent category is inaccessible for you. Ask category owner to update access level.
90011,No access to category,Category is inaccessible for you. Ask category owner to update access level.
90012,No access to notification,Notification is inaccessible for you
90013,No access to mailbox {0},"User doesn't have access to this mailbox. Ask your system administrator to give permissions."
90014,No access to mailbox {0}. Missed permissions: {1},"User doesn't have access particular functionality of this mailbox. Ask your system administrator to give permissions. Missed permissions you can find in the error message."
90015,No access to envelope,"User doesn't have access to this envelope. Only users who included to the processing flow can watch envelopes"
90017,Envelope role forbidden to change data,"Envelope role can't change data in the envelope. If you want to change data in the envelope set respective role on the template"
90018,Access to account {0} is forbidden,"User doesn't have access to this account. Ask your system administrator to give permissions."
90019,Mailbox header does not match to mailbox uuid from entity,Please check that entity belongs to current mailbox
90021,"You don't have enough privilege for this","User doesn't have enough permissions to do this action. Please ask your system administrator to give permissions"
90022,No access to this import task,"User doesn't have access to the import task"
90026,No access to attachment,Attahcment is inaccessible for you
90030,"Can't revoke last owner","You can't revoke last owner of the entity"
90031,Not a scenario owner,Not scenario owner
90032,No access to scenario,No read access to scenario
