100001,Scenario name can not be empty or null,Scenario name can not be empty
100002,Scenario description can not be empty or null,Scenario description can not be empty
100003,"Scenario access level can not be empty or null. Access can be fourth types: mailbox, account, pub and official",Scenario access level can not be empty
100004,Id can not be empty or null,Scenario step id can not be empty
100005,Scenario step name can not be empty or null,Scenario step name can not be empty
100006,Scenario step XSLT map can not be empty or null,Scenario step XSLT map can not be empty
100007,Steps is required. Steps can not be empty or null,Scenario should have at least 1 step
100008,Scenario step template uuid can not be be empty or null,Scenario template uuid should not be empty
100009,Scenario step template version can not be be empty or null,Scenario template version should not be empty
100010,Scenario save failed,Scenario save failed
100011,Scenario {0} not found,Scenario not found
100012,Scenario {0} deleted,Scenario deleted
100013,Can not create or update scenario access to official,Scenario access level can not be changed to the official access level. Only system user can change access level to official
100014,Step {0} not available at this stage,Step not available at this stage
100015,First step can not have source template,First step can not have source template
100016,Step destination can not be empty,First step can not have source template
100017,Step {0} source can not be empty,Step source can not be empty
100018,Step {0} destination does not match with result,Step destination do not match with result
100019,Duplicated step id {0},Duplicated step id
100020,Step {0} source does not match with any previous destination,Please check the order of steps
100021,Scenario name length can not be more than 256,Scenario name can not be more than 256
100022,Scenario description length can not be more than 256,Scenario description can not be more than 256
100023,Scenario step id length can not be more than 256,Scenario step id length can not be more than 256
100024,Scenario step name length can not be more than 256,Scenario step name length can not be more than 256
100025,Scenario condition can not be applied properly,"Scenario condition is wrong, please check xslt mapping"
