**Custom error code**, **Error detail**, **Error description**
10001, User {0} not found, 
10002, User {0} deleted, 
10003, Proof message is not valid, 
10004, Such email already in use, 
10005, User already activated, 
10006, Invitation is for another user, 
10007, User notification {0} not found, 
10008, Email validation code not found or expired, 
10009, Invitation code not found or expired, 
10010, "Your invitation link has been expired, please confirm registration", 
10011, Invitation not found or expired, 
10012, Invitation Email is empty, 
10013, No account provided for invitation, 
10014, No permissions provided for invitation, 
10015, Wrong role ''{0}'' is used, 
10016, Color can't be null, 
10017, Color ''{0}'' has wrong format, 
10018, Bad range dates number: {0}, 
10019, Bad ISO date: {0}, 
10020, Already invited, 
